Type,Scam Type,Archetype,Dimension,Attribute
Victim,Ecommerce,Authority-Deferential,Dispositional,I believe that if a website appears at the top of a Google search it must be a legitimate and reputable company.
Victim,Ecommerce,Authority-Deferential,Experiential, When I see a 'Verified Seller' badge on the marketplace platform, I trust that the platform had done its due diligence.
Victim,Ecommerce,Authority-Deferential,Situational,The seller had a professional-looking website with official registration details which made them seem legitimate.
Victim,Ecommerce,Emotionally Vulnerable,Dispositional,Shopping online is a way for me to cope when I'm feeling anxious or down.
Victim,Ecommerce,Emotionally Vulnerable,Experiential,I recently lost my job. 
Victim,Ecommerce,Emotionally Vulnerable,Situational,I was stressed about finding an item I needed quickly. This site was the only one that had it.
Victim,Ecommerce,Emotionally Vulnerable,Situational,I was tired and distracted when I saw an online ad for a discounted item.
Victim,Ecommerce,Highly Trusting,Dispositional,I generally believe people are honest. I don't assume online sellers are trying to trick me.
Victim,Ecommerce,Highly Trusting,Dispositional,I generally trust online sellers and don't check for red flags.
Victim,Ecommerce,Highly Trusting,Experiential,I find reading terms and conditions or refund policies too time-consuming so I usually skip them.
Victim,Ecommerce,Highly Trusting,Experiential,I'm not very tech-savvy so I rely on visual cues like 'secure payment' logos and trust they are real.
Victim,Ecommerce,Highly Trusting,Situational,The website had many positive customer reviews and testimonials so I assumed it was trustworthy.
Victim,Ecommerce,Impulsive Risk-Taker,Dispositional,I enjoy the rush of spontaneous purchases. It makes me feel good in the moment.
Victim,Ecommerce,Impulsive Risk-Taker,Dispositional,I get a thrill from finding an amazing deal. I tend to act fast without overthinking it.
Victim,Ecommerce,Impulsive Risk-Taker,Dispositional,I have a tendency to make quick decisions when I see a good deal.
Victim,Ecommerce,Impulsive Risk-Taker,Experiential,I often shop online late at night when I'm tired and my guard is down.
Victim,Ecommerce,Impulsive Risk-Taker,Situational,The flash sale created a sense of urgency so I bought it without thinking.
Victim,Ecommerce,Impulsive Risk-Taker,Situational,The limited-time offer and countdown timer made me feel like I had to buy it immediately or I'd miss out.
Victim,Ecommerce,Highly Trusting,Experiential,I don't have a lot of formal education in computers. I find it hard to tell if a website is fake or not.
Victim,Ecommerce,Emotionally Vulnerable,Experiential,I find new websites and apps a bit confusing. I just stick to what looks simple.
Victim,Ecommerce,Highly Trusting,Dispositional,With my level of education and professional experience I was confident in my own judgment and didn't think I could be fooled.
Victim,GOIS,Authority-Deferential,Dispositional,I was raised to respect and obey government officials without question.
Victim,GOIS,Authority-Deferential,Experiential,I am an immigrant and am not fully familiar with how government agencies operate in this country.
Victim,GOIS,Authority-Deferential,Situational,The caller gave me an official-sounding case ID and license or badge number which made the call seem legitimate.
Victim,GOIS,Authority-Deferential,Dispositional,My default reaction is to trust and cooperate with anyone who identifies themselves as a government or law enforcement official.
Victim,GOIS,Authority-Deferential,Experiential,I have no direct experience dealing with the legal system so I believed everything the 'officer' told me about the correct procedure.
Victim,GOIS,Emotionally Vulnerable,Dispositional,I am a law-abiding citizen. The accusation of a crime makes me extremely anxious and ashamed.
Victim,GOIS,Emotionally Vulnerable,Experiential,I don't have a strong social support network so I am unable to consult anyone before making a decision.
Victim,GOIS,Emotionally Vulnerable,Situational,The threat of having my assets frozen and facing arrest filled me with overwhelming fear and dread.
Victim,GOIS,Emotionally Vulnerable,Situational,The formality of his language and the seriousness of the accusation made me too intimidated to ask questions or hang up.
Victim,GOIS,Highly Trusting,Dispositional,I believe government agencies are there to help. I trust what their representatives tell me.
Victim,GOIS,Highly Trusting,Dispositional,I believe in our institutions. It never occurred to me that a criminal could fake a government phone number or credentials.
Victim,GOIS,Highly Trusting,Situational,The caller had my full name and address so I was convinced they were a real government official.
Victim,GOIS,Impulsive Risk-Taker,Dispositional,I'm not a fan of uncertainty. I'd rather take quick action to resolve a problem than let it linger.
Victim,GOIS,Impulsive Risk-Taker,Situational,I paid the fine immediately to avoid further legal trouble.
