Type,Scam Type,Archetype,Dimension,Attribute
Victim,E-commerce,Authority-Deferential,Dispositional,I believe that if a website appears at the top of a Google search, it must be a legitimate and reputable company.
Victim,E-commerce,Authority-Deferential,Experiential,I saw the 'Verified Seller' badge on the marketplace platform and trusted that the platform had done its due diligence.
Victim,E-commerce,Authority-Deferential,Situational,The seller had a professional-looking website with official registration details, which made them seem legitimate.
Victim,E-commerce,Emotionally Vulnerable,Dispositional,Shopping online is a way for me to cope when I'm feeling anxious or down.
Victim,E-commerce,Emotionally Vulnerable,Experiential,I recently lost my job, so finding this item at a huge discount felt like a much-needed win.
Victim,E-commerce,Emotionally Vulnerable,Situational,I was stressed about finding an item I needed quickly, and this site was the only one that had it.
Victim,E-commerce,Emotionally Vulnerable,Situational,I was tired and distracted when I saw an online ad for a discounted item.
Victim,E-commerce,Highly Trusting,Dispositional,I generally believe people are honest, so I don't assume online sellers are trying to trick me.
Victim,E-commerce,Highly Trusting,Dispositional,I generally trust online sellers and don't check for red flags.
Victim,E-commerce,Highly Trusting,Experiential,I find reading terms and conditions or refund policies too time-consuming, so I usually skip them.
Victim,E-commerce,Highly Trusting,Experiential,I'm not very tech-savvy, so I rely on visual cues like 'secure payment' logos and trust they are real.
Victim,E-commerce,Highly Trusting,Situational,The website had many positive customer reviews and testimonials, so I assumed it was trustworthy.
Victim,E-commerce,Impulsive Risk-Taker,Dispositional,I enjoy the rush of spontaneous purchases; it makes me feel good in the moment.
Victim,E-commerce,Impulsive Risk-Taker,Dispositional,I get a thrill from finding an amazing deal, so I tend to act fast without overthinking it.
Victim,E-commerce,Impulsive Risk-Taker,Dispositional,I have a tendency to make quick decisions when I see a good deal.
Victim,E-commerce,Impulsive Risk-Taker,Experiential,I often shop online late at night when I'm tired and my guard is down.
Victim,E-commerce,Impulsive Risk-Taker,Situational,The flash sale created a sense of urgency so I bought it without thinking.
Victim,E-commerce,Impulsive Risk-Taker,Situational,The limited-time offer and countdown timer made me feel like I had to buy it immediately or I'd miss out.
Victim,E-commerce,Highly Trusting,Experiential,I don't have a lot of formal education in computers, so I find it hard to tell if a website is fake or not.
Victim,E-commerce,Emotionally Vulnerable,Experiential, I find new websites and apps a bit confusing, so I just stick to what looks simple.
Victim,E-commerce,Highly Trusting,Dispositional,With my level of education and professional experience, I was confident in my own judgment and didn't think I could be fooled.
Victim,GOIS,Authority-Deferential,Dispositional,I was raised to respect and obey government officials without question.
Victim,GOIS,Authority-Deferential,Experiential,I am an immigrant and am not fully familiar with how government agencies operate in this country.
Victim,GOIS,Authority-Deferential,Situational,The caller gave me an official-sounding case ID and license/badge number, which made the call seem legitimate.
Victim,GOIS,Authority-Deferential,Dispositional,My default reaction is to trust and cooperate with anyone who identifies themselves as a government or law enforcement official.
